drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Turčija,16,Ozden,Srednja blokerka,22,16/04/2004,187cm,34,2.27,24,48.98%,1.60,8,13.56%,0.53,2,2.63%,0.13
Turčija,18,Güneş,Srednja blokerka,27,07/07/1999,198cm,67,9.57,38,46.34%,5.43,23,21.50%,3.29,6,6.98%,0.86
Turčija,20,Erkek,Sprejemalka,24,02/09/2001,182cm,102,6.80,96,40.68%,6.40,4,9.09%,0.27,2,1.45%,0.13
Turčija,22,Aydın,Sprejemalka,26,05/01/2000,179cm,153,10.20,132,42.72%,8.80,14,14.58%,0.93,7,3.95%,0.47
Turčija,91,Basyolcu,Sprejemalka,19,09/08/2006,192cm,55,3.67,46,38.33%,3.07,8,18.18%,0.53,1,2.08%,0.07
Turčija,13,Özdemir,Podajalka,20,15/08/2005,189cm,14,3.50,7,53.85%,1.75,7,17.50%,1.75,0,0.00%,0.00
Turčija,77,Uysalcan,Sprejemalka,17,13/07/2009,196cm,12,1.71,12,46.15%,1.71,0,0.00%,0.00,0,0.00%,0.00
Turčija,21,Çürük,Korektorica,24,04/10/2001,182cm,0,-,0,-,-,0,-,-,0,-,-
Turčija,27,Balık,Srednja blokerka,16,20/10/2009,193cm,1,0.25,0,0.00%,0.00,1,20.00%,0.25,0,0.00%,0.00
Ukrajina,1,Milenko,Sprejemalka,27,29/06/1999,180cm,147,12.25,130,35.71%,10.83,10,16.13%,0.83,7,3.98%,0.58
Ukrajina,2,Meliushkyna,Srednja blokerka,30,06/08/1996,190cm,78,6.50,55,47.41%,4.58,20,16.39%,1.67,3,3.66%,0.25
Ukrajina,4,Lutsenko,Libero,23,11/06/2003,176cm,0,0.00,0,-,-,0,-,-,0,-,-
Ukrajina,7,Dorsman,Srednja blokerka,32,11/12/1993,184cm,90,7.50,68,51.13%,5.67,20,14.49%,1.67,2,2.04%,0.17
Ukrajina,9,Parfonova,Podajalka,27,20/08/1998,182cm,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
Ukrajina,10,Nudha,Sprejemalka,23,12/12/2002,178cm,72,6.00,59,34.30%,4.92,9,22.50%,0.75,4,4.94%,0.33
Ukrajina,11,Danchak,Korektorica,26,11/01/2000,192cm,74,6.17,64,34.04%,5.33,7,15.56%,0.58,3,4.29%,0.25
Ukrajina,13,Fedyk,Sprejemalka,24,05/03/2002,180cm,20,1.67,17,29.31%,1.42,0,0.00%,0.00,3,5.88%,0.25
Ukrajina,14,Sharhorodska,Podajalka,24,11/04/2002,182cm,53,4.42,22,50.00%,1.83,18,20.45%,1.50,13,8.28%,1.08
Ukrajina,19,Artyshuk,Korektorica,25,09/02/2001,190cm,108,9.00,97,32.77%,8.08,5,11.90%,0.42,6,5.83%,0.50
Ukrajina,21,Zharkova,Srednja blokerka,21,26/07/2005,192cm,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
Ukrajina,22,Boiko,Libero,23,02/06/2003,174cm,0,0.00,0,-,-,0,-,-,0,-,-
Ukrajina,23,Dymar,Sprejemalka,31,03/12/1994,182cm,56,4.67,46,34.33%,3.83,7,26.92%,0.58,3,4.17%,0.25
Ukrajina,26,Kotar,Srednja blokerka,25,26/10/2000,190cm,54,4.50,33,39.76%,2.75,16,18.82%,1.33,5,5.43%,0.42
