drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Turčija,1,Gürbüz,Korektor,24,16/08/2001,200cm,37,2.85,29,51.79%,2.23,2,10.53%,0.15,6,11.32%,0.46
Turčija,3,Tümer,Srednji bloker,24,15/09/2001,204cm,104,8.00,78,63.93%,6.00,19,15.45%,1.46,7,4.49%,0.54
Turčija,4,Baltaci,Srednji bloker,27,08/06/1999,210cm,6,0.46,3,60.00%,0.23,3,23.08%,0.23,0,0.00%,0.00
Turčija,5,Matić,Srednji bloker,31,22/05/1995,211cm,11,0.85,7,43.75%,0.54,3,18.75%,0.23,1,3.57%,0.08
Turčija,6,Yüksel,Sprejemalec,22,11/07/2004,204cm,106,8.15,89,48.90%,6.85,12,26.09%,0.92,5,5.95%,0.38
Turčija,7,Bedirhan,Srednji bloker,27,29/07/1999,201cm,119,9.92,76,54.29%,6.33,41,28.67%,3.42,2,1.14%,0.17
Turčija,8,Kirkit,Sprejemalec,25,01/01/2001,194cm,5,0.38,4,36.36%,0.31,0,0.00%,0.00,1,7.69%,0.08
Turčija,10,M. Lagumdzija,Sprejemalec,25,18/05/2001,207cm,70,5.38,59,44.70%,4.54,11,20.75%,0.85,0,0.00%,0.00
Turčija,12,A. Lagumdzija,Korektor,27,29/03/1999,211cm,240,18.46,197,45.71%,15.15,24,26.97%,1.85,19,10.44%,1.46
Turčija,17,Yenipazar,Podajalec,33,01/01/1993,194cm,27,2.08,13,54.17%,1.00,6,9.52%,0.46,8,4.10%,0.62
Turčija,19,Bayraktar,Libero,28,03/07/1998,190cm,0,0.00,0,-,-,0,-,-,0,-,-
Turčija,20,Bayram,Sprejemalec,24,01/03/2002,194cm,111,8.54,89,41.40%,6.85,16,24.24%,1.23,6,3.33%,0.46
Turčija,31,Samet,Libero,26,25/01/2000,191cm,0,0.00,0,-,-,0,-,-,0,-,-
Turčija,33,Hilmi,Podajalec,23,01/01/2003,186cm,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
Ukrajina,2,Drozd,Srednji bloker,34,05/08/1991,208cm,4,0.50,4,36.36%,0.50,0,0.00%,0.00,0,0.00%,0.00
Ukrajina,5,Plotnytskyi,Sprejemalec,29,05/06/1997,190cm,113,14.12,90,42.86%,11.25,7,18.92%,0.88,16,10.32%,2.00
